sim_id	seed	gene	sim_method	sim_path	log_path	n_causal	n_tissues	causal_per_tissue	pve
rnqyqijzuq	2162033362	ENSG00000100079.6	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/rnqyqijzuq/rnqyqijzuq.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/rnqyqijzuq/rnqyqijzuq.log	54	500	3	0.2
cwznrkogtb	2393763369	ENSG00000144824.20	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/cwznrkogtb/cwznrkogtb.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/cwznrkogtb/cwznrkogtb.log	77	1000	3	0.2
dzobxsgioq	3398103009	ENSG00000117523.15	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/dzobxsgioq/dzobxsgioq.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/dzobxsgioq/dzobxsgioq.log	24	100	3	0.2
qzliqbmyae	421341781	ENSG00000121933.18	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/qzliqbmyae/qzliqbmyae.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/qzliqbmyae/qzliqbmyae.log	34	200	3	0.2
gtjxggbecn	514436300	ENSG00000203757.1	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/gtjxggbecn/gtjxggbecn.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/gtjxggbecn/gtjxggbecn.log	54	500	3	0.2
ppuzomvhmb	1021325889	ENSG00000067836.12	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ppuzomvhmb/ppuzomvhmb.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ppuzomvhmb/ppuzomvhmb.log	77	1000	3	0.2
ynvykuthrj	3857014679	ENSG00000184838.14	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ynvykuthrj/ynvykuthrj.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ynvykuthrj/ynvykuthrj.log	24	100	3	0.2
dkvnoujoho	660595999	ENSG00000254004.6	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/dkvnoujoho/dkvnoujoho.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/dkvnoujoho/dkvnoujoho.log	34	200	3	0.2
wjkpfrymgt	2502307730	ENSG00000174231.16	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/wjkpfrymgt/wjkpfrymgt.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/wjkpfrymgt/wjkpfrymgt.log	54	500	3	0.2
iekxcmlynp	845355567	ENSG00000072041.16	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/iekxcmlynp/iekxcmlynp.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/iekxcmlynp/iekxcmlynp.log	77	1000	3	0.2
yriarfvfvw	774111249	ENSG00000163207.6	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/yriarfvfvw/yriarfvfvw.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/yriarfvfvw/yriarfvfvw.log	24	100	3	0.2
lkkryltrlm	2434950012	ENSG00000155026.16	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/lkkryltrlm/lkkryltrlm.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/lkkryltrlm/lkkryltrlm.log	34	200	3	0.2
asmnsdddin	1590145612	ENSG00000166595.11	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/asmnsdddin/asmnsdddin.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/asmnsdddin/asmnsdddin.log	54	500	3	0.2
kjxnbvspuh	1499109858	ENSG00000213780.10	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/kjxnbvspuh/kjxnbvspuh.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/kjxnbvspuh/kjxnbvspuh.log	77	1000	3	0.2
vzzoklhzaw	2123156455	ENSG00000184164.14	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vzzoklhzaw/vzzoklhzaw.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/vzzoklhzaw/vzzoklhzaw.log	24	100	3	0.2
lzyffvmkmh	3185608385	ENSG00000169727.12	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/lzyffvmkmh/lzyffvmkmh.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/lzyffvmkmh/lzyffvmkmh.log	34	200	3	0.2
silcthkrwp	3622856505	ENSG00000145833.15	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/silcthkrwp/silcthkrwp.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/silcthkrwp/silcthkrwp.log	54	500	3	0.2
ytdjodspmy	833587378	ENSG00000188033.9	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ytdjodspmy/ytdjodspmy.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ytdjodspmy/ytdjodspmy.log	77	1000	3	0.2
srpurimlqm	2721672823	ENSG00000204882.3	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/srpurimlqm/srpurimlqm.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/srpurimlqm/srpurimlqm.log	24	100	3	0.2
ptahifblwb	1553282568	ENSG00000184428.12	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ptahifblwb/ptahifblwb.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ptahifblwb/ptahifblwb.log	34	200	3	0.2
xycazunpsv	2049491415	ENSG00000120889.12	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xycazunpsv/xycazunpsv.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xycazunpsv/xycazunpsv.log	54	500	3	0.2
kffagdwqbi	4216610765	ENSG00000244476.2	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/kffagdwqbi/kffagdwqbi.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/kffagdwqbi/kffagdwqbi.log	77	1000	3	0.2
zfjeysaklw	953534198	ENSG00000158258.16	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/zfjeysaklw/zfjeysaklw.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/zfjeysaklw/zfjeysaklw.log	24	100	3	0.2
pjzeqkcsvx	358176372	ENSG00000272674.3	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/pjzeqkcsvx/pjzeqkcsvx.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/pjzeqkcsvx/pjzeqkcsvx.log	34	200	3	0.2
xfgnsewlmb	165034486	ENSG00000100324.13	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xfgnsewlmb/xfgnsewlmb.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/xfgnsewlmb/xfgnsewlmb.log	54	500	3	0.2
nglkbzgyjp	2699935115	ENSG00000203724.10	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/nglkbzgyjp/nglkbzgyjp.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/nglkbzgyjp/nglkbzgyjp.log	77	1000	3	0.2
lnzlvhrjon	3791093558	ENSG00000167232.13	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/lnzlvhrjon/lnzlvhrjon.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/lnzlvhrjon/lnzlvhrjon.log	24	100	3	0.2
cdlcvvbfna	1627592130	ENSG00000078747.14	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/cdlcvvbfna/cdlcvvbfna.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/cdlcvvbfna/cdlcvvbfna.log	34	200	3	0.2
epgywwnhes	1290042959	ENSG00000215217.6	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/epgywwnhes/epgywwnhes.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/epgywwnhes/epgywwnhes.log	54	500	3	0.2
hlvbbskshq	2455219874	ENSG00000163864.15	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/hlvbbskshq/hlvbbskshq.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/hlvbbskshq/hlvbbskshq.log	77	1000	3	0.2
ksapbqufph	1825754583	ENSG00000139174.11	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ksapbqufph/ksapbqufph.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ksapbqufph/ksapbqufph.log	24	100	3	0.2
nvjfymlosc	1372676545	ENSG00000110900.14	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/nvjfymlosc/nvjfymlosc.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/nvjfymlosc/nvjfymlosc.log	34	200	3	0.2
oulzhtreew	3586913850	ENSG00000214753.2	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/oulzhtreew/oulzhtreew.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/oulzhtreew/oulzhtreew.log	54	500	3	0.2
exfvmqndzx	1009732494	ENSG00000184428.12	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/exfvmqndzx/exfvmqndzx.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/exfvmqndzx/exfvmqndzx.log	77	1000	3	0.2
ctroxwvidi	555086066	ENSG00000158711.13	n_causal_variants	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ctroxwvidi/ctroxwvidi.sim	/work-zfs/abattle4/karl/cosie_analysis/output/sim/n_causal/ctroxwvidi/ctroxwvidi.log	24	100	3	0.2
